10290	2317119140	4	477.67
11061	5800174928	6	37.8
11364	3922182335	18	40.19
11610	1151992339	8	505.15
12392	6558009504	44	480.32
12591	6805681153	12	953.77
12786	3563708948	20	507.15
13531	8108070318	47	160.92
15588	2617990179	10	564.31
17056	2004531657	38	190
17152	1239216561	20	29.07
18199	5873816058	20	473.03
19084	3922182335	26	951.32
19136	2860541127	37	208.86
19591	7504443117	43	695.01
19663	4974050077	30	117.87
19795	6879872752	6	921.79
20528	4465368283	17	515.2
23691	5873816058	34	494.76
25415	9610807337	5	275.74
26179	2436445353	6	709.75
26641	5917263472	10	592.22
27660	3918895430	12	785.06
28587	8191189752	9	849.71
28898	6721283546	13	656.16
29222	3977135085	2	663.11
30906	8114502330	40	375.84
31263	2317119140	12	894.07
32957	6377659213	33	205.68
33841	2726473926	16	694.91
37626	4974050077	28	56.27
37868	1239216561	14	536.14
39224	9587104644	5	146.95
40981	3977135085	27	293.98
42881	1412191336	32	9.13
44519	2004531657	50	911.26
45286	5796178319	8	625.66
45924	8747913061	28	745.04
46378	6184547311	27	259.09
48495	6184547311	23	808.41
48595	1267091330	11	965.01
49662	9070715580	25	504.38
49672	7763136307	39	265.64
49980	4546869957	27	848.04
50540	5647380177	39	73.43
50624	7867564343	25	644.17
50779	5704867846	17	803.74
52547	1689171853	2	383.26
52897	4967251354	35	184.46
54944	2860541127	50	25.74
56324	5352448629	25	733.79
58240	3127324066	29	772.95
60662	2860541127	28	581.21
60814	5592588427	4	665.04
61022	6805681153	39	970.54
61352	5796178319	36	755.27
62006	8108070318	2	657.75
64543	9070715580	45	363.15
65768	1239216561	1	162.15
66293	8014080632	23	745.23
66770	5352448629	45	727.32
67215	5842215035	40	307.43
67388	5384961533	48	498.76
68741	2317795287	13	782.51
68798	2449337230	27	827.88
69625	7500003033	27	2.23
69778	5800174928	17	355.53
72940	5647380177	2	673.01
74090	2004531657	4	442.8
75104	4481376099	36	567.09
75434	5796178319	8	15.41
77882	8014080632	26	709.73
78047	6879872752	1	785.45
78352	6377659213	42	309.58
79595	6377659213	44	45.9
79621	7929032361	49	820.73
80418	4129078041	37	22.17
80726	6377659213	9	193.06
80778	4465368283	35	44.18
81524	8014080632	34	451
82916	6096442276	3	699.64
86460	2404853503	26	591.34
87764	5796178319	22	233.07
88462	4824994331	8	18.87
88540	8986740100	21	463.82
89840	9698592174	32	985.12
89867	3922182335	37	275.05
90703	2449337230	33	489.04
91488	7763136307	29	914.67
94487	7500003033	48	854.71
96076	7352844058	10	359.37
96271	8747913061	20	428.3
96841	6377659213	39	118.22
97289	3563708948	31	220.23
97345	2004531657	25	298.62
97471	7763136307	15	100.75
98681	1653655893	40	819.85
98789	1964165082	4	2.2
99621	8794935081	9	12.42
99813	2726473926	22	397.91
