10654,Berglunds snabbkop,"Buchanan, Steven", 19970911000000.000000,55
10650,Familia Arquibaldo,"Buchanan, Steven", 19970903000000.000000,177
10675,Frankenversand,"Buchanan, Steven", 19970923000000.000000,32
10529,Maison Dewey,"Buchanan, Steven", 19970509000000.000000,67
10649,Maison Dewey,"Buchanan, Steven", 19970829000000.000000,6
10575,Morgenstern Gesundkost,"Buchanan, Steven", 19970630000000.000000,127
10549,QUICK-Stop,"Buchanan, Steven", 19970530000000.000000,171
10569,Rattlesnake Canyon Grocery,"Buchanan, Steven", 19970711000000.000000,59
10648,Ricardo Adocicados,"Buchanan, Steven", 19970909000000.000000,14
10607,Save-a-lot Markets,"Buchanan, Steven", 19970725000000.000000,200
10614,Blauer See Delikatessen,"Callahan, Laura", 19970801000000.000000,2
10679,Blondel pe et fils,"Callahan, Laura", 19970930000000.000000,28
10521,Cactus Comidas para llevar,"Callahan, Laura", 19970502000000.000000,17
10632,Die Wandernde Kuh,"Callahan, Laura", 19970819000000.000000,41
10651,Die Wandernde Kuh,"Callahan, Laura", 19970911000000.000000,21
10571,Ernst Handel,"Callahan, Laura", 19970704000000.000000,26
10533,Folk och faB,"Callahan, Laura", 19970522000000.000000,188
10560,Frankenversand,"Callahan, Laura", 19970609000000.000000,37
10623,Frankenversand,"Callahan, Laura", 19970812000000.000000,97
10589,Great Lakes Food Market,"Callahan, Laura", 19970714000000.000000,4
10660,Hungry Coyote Import Store,"Callahan, Laura", 19971015000000.000000,111
10543,LILA-Supermercado,"Callahan, Laura", 19970523000000.000000,48
10631,La maison dAsie,"Callahan, Laura", 19970815000000.000000,1
10610,La maison dAsie,"Callahan, Laura", 19970806000000.000000,27
10545,Lazy K Kountry Store,"Callahan, Laura", 19970626000000.000000,12
10534,Lehmanns Marktstand,"Callahan, Laura", 19970514000000.000000,28
10635,Magazzini Alimentari Riuniti,"Callahan, Laura", 19970821000000.000000,47
10565,Me Paillarde,"Callahan, Laura", 19970618000000.000000,7
10627,Save-a-lot Markets,"Callahan, Laura", 19970821000000.000000,107
10603,Save-a-lot Markets,"Callahan, Laura", 19970808000000.000000,49
10602,Vaffeljernet,"Callahan, Laura", 19970722000000.000000,3
10596,White Clover Markets,"Callahan, Laura", 19970812000000.000000,16
10677,Antonio Moreno Taqueria,"Davolio, Nancy", 19970926000000.000000,4
10558,Around the Horn,"Davolio, Nancy", 19970610000000.000000,73
10626,Berglunds snabbkop,"Davolio, Nancy", 19970820000000.000000,139
10524,Berglunds snabbkop,"Davolio, Nancy", 19970507000000.000000,245
10525,Bon app,"Davolio, Nancy", 19970523000000.000000,11
10668,Die Wandernde Kuh,"Davolio, Nancy", 19970923000000.000000,47
10671,France restauration,"Davolio, Nancy", 19970924000000.000000,30
10653,Frankenversand,"Davolio, Nancy", 19970919000000.000000,93
