2011	150	32168.54
2011	200	98741.56
2011	250	87145.25
2011	300	15642.55
2012	100	2164.74
2012	150	68761.44
2012	200	77310.99
2012	250	101554.14
2012	300	45631.58
2013	100	5676.44
2013	150	93714.35
2013	200	99513.15
2013	250	125494.65
2013	300	65134.78
2014	100	7412.61
2014	150	138154.14
2014	200	112464.87
2014	250	136975.85
2014	300	87461.55
2015	100	9436.98
2015	150	130698.15
2015	200	124689.16
2015	250	147853.78
2015	300	99413.58
2016	100	15761.15
2016	150	145687.25
2016	200	146324.75
2016	250	162987.33
2016	300	121789.84
